shop,city,name,brand,price_jumbo_prime,price_regular,price_now,discount
JUMBO,Medellin,VINO TINTO MERLOT TRAPICHE X750CM3,TRAPICHE,0,0,53090,0
JUMBO,Medellin,VINO TINTO LAS MORAS BLACK LABEL MALBEC BOT.X750ML,LAS MORAS,0,0,99990,0
JUMBO,Medellin,VINO TINTO SANTA CAROLINA ASSEMBLAGE X750 ML,SANTA CAROLINA,0,0,69390,0
JUMBO,Medellin,VINO BLANCO BERONIA VERDEJO RUEDA BOTELLA X750ML,BERONIA CRIANZA,0,0,77990,0
JUMBO,Medellin,VINO BERONIA RIOJA ROSE BOTELLA X750ML,BERONIA CRIANZA,0,0,75990,0
JUMBO,Medellin,VINO RAMON BILBAO ROSADO RIOJA 2018 BOTELLA X 750ML,RAMON BILBAO,0,0,73990,0
JUMBO,Medellin,VINO CASILLERO CHARDONAY X750CM3,CASILLERO DEL DIABLO,0,0,69990,0
JUMBO,Medellin,VINO DADA TINTO ART WINE 3 BOTELLA X 750ML,DADA,0,0,63990,0
JUMBO,Medellin,VINO TINTO CASTILLO DE LIRIA PAGUE 2 LLEVE 3 X750ML C-U,CASTILLO DE LIRIA,0,0,75990,0
JUMBO,Medellin,VINO VOLCANES TINTO RESERVA CARMENERE BOTELLA X 750 ML,VOLCANES,0,0,101990,0
JUMBO,Medellin,VINO CASTILLO DE LIRA TINTO BOT X750ML,CASTILLO DE LIRIA,0,0,37990,0
JUMBO,Medellin,VINO LEYENDA CABERNET SYRAH ROSE X750ML,LEYENDA,0,0,35990,0
JUMBO,Medellin,VINO TINTO ISABELLA VALLE ALTO CAUCA X 750ML,ISABELLA,0,0,27990,0
JUMBO,Medellin,VINO DADA TINTO ARTWINE NO 1 X 750ML,DADA,0,0,63290,0
JUMBO,Medellin,VINO TINTO UNDURRAGA MERLOT X750ML,UNDURRAGA,0,0,63990,0
JUMBO,Medellin,VINO TINTO SANTA RITA SECRETRESERVECAB.SAUVIX750ML,SANTA RITA,0,0,89990,0
JUMBO,Medellin,VINO BLANCO MARQUES DE RISCAL ORGÁNICO SAUVIGNON BLANCO X750ML,MARQUESDERISCAL,0,0,91990,0
JUMBO,Medellin,VINO TINTO COTE DES ROSES LANGUEDOC BOTELLA X 750 ML,COTE DES ROSES,0,0,71990,0
JUMBO,Medellin,VINO TINTO SÉPTIMA OBRA MALBEC X 750ML,SEPTIMA,0,0,121990,0
JUMBO,Medellin,VINO UNDURRAGA CABERNET PINOT BOT X 750 CM 3,UNDURRAGA,0,0,83990,0
JUMBO,Medellin,VINO CASILLERO SYRAH ROSE X 750 ML,CASILLERO DEL DIABLO,0,0,69990,0
JUMBO,Medellin,VINO TINTO VOLCANES RESERVA MERLOT X 750 ML,VOLCANES,0,0,101990,0
JUMBO,Medellin,VINO TINTO ZUCCARDI CABERNET SAUVIGNON RESERVA X 750 ML,ZUCCARDI,0,0,75990,0
JUMBO,Medellin,VINO SANTA RITA VIEJA CABERNET SAUVIGNON X 375ML,SANTA RITA,0,0,48990,0
JUMBO,Medellin,VINO GATO NEGRO CHARDONNAY X 750ML,GATO NEGRO,0,0,45890,0
JUMBO,Medellin,VINO PICCINI LAMBRUSCO BLANCO X 750ML,PICCINI,0,0,46990,0
JUMBO,Medellin,VINO BLANCO VOLCANES SAUVIGNON BLANC X 750 ML,VOLCANES,0,0,65990,0
JUMBO,Medellin,VINO TINTO MORANDE CLASICO CARMENERE X750ML,MORANDE,0,0,47990,0
